A1-VERB-41,A1,,drucken [sound:googletts-c13862ad-e86a0acf-c59180ff-1a81304c-4ddcf03d.mp3],print,,ich drucke&nbsp;<div>du druckst&nbsp;</div><div>er/sie/es druckt&nbsp;</div><div>wir drucken&nbsp;</div><div>ihr druckt&nbsp;</div><div>Sie drucken</div>,ich druckte&nbsp;<div>du drucktest&nbsp;</div><div>er/sie/es druckte ⚑</div><div>wir druckten&nbsp;</div><div>ihr drucktet&nbsp;</div><div>Sie druckten</div>,ich werde drucken&nbsp;<div>du wirst drucken&nbsp;</div><div>er/sie/es wird drucken&nbsp;</div><div>wir werden drucken&nbsp;</div><div>ihr werdet drucken&nbsp;</div><div>Sie werden drucken</div>,ich habe gedruckt ⚑<div>du hast gedruckt&nbsp;</div><div>er/sie/es hat gedruckt&nbsp;</div><div>wir haben gedruckt&nbsp;</div><div>ihr habt gedruckt&nbsp;</div><div>Sie haben gedruckt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to print [sound:googletts-3cac37d8-7cbd0fa6-8a8dfd06-fd82f9b9-78470781.mp3],Please print out the form for me. [sound:googletts-5b52ba83-1ca87394-ebce4ac2-f2aa4f3e-37ed8e46.mp3],Bitte drucke das Formular für mich. [sound:googletts-9329be44-abd1258f-66cb0d3d-4183364d-c147d345.mp3],
A1-VERB-44,A1,,dürfen [sound:googletts-5d4e0c07-f3f2ce4e-a732699e-822420b5-2e7221f8.mp3],may or be allowed to,,ich darf&nbsp;<div>du darfst&nbsp;</div><div>er/sie/es darf ⚑</div><div>wir dürfen ⚑</div><div>ihr dürft&nbsp;</div><div>Sie dürfen</div>,ich durfte ⚑<div>du durftest&nbsp;</div><div>er/sie/es durfte ⚑</div><div>wir durften&nbsp;</div><div>ihr durftet&nbsp;</div><div>Sie durften</div>,ich werde dürfen&nbsp;<div>du wirst dürfen&nbsp;</div><div>er/sie/es wird dürfen&nbsp;</div><div>wir werden dürfen&nbsp;</div><div>ihr werdet dürfen&nbsp;</div><div>Sie werden dürfen</div>,ich habe gedurft ⚑<div>du hast gedurft&nbsp;</div><div>er/sie/es hat gedurft&nbsp;</div><div>wir haben gedurft&nbsp;</div><div>ihr habt gedurft&nbsp;</div><div>Sie haben gedurft</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],may or be allowed to&nbsp;[sound:googletts-edeaebaa-154434b0-0d10b47b-ee68d84a-0ac2fc83.mp3],You are not allowed to smoke here. [sound:googletts-169b5f71-52f21a20-a65ccaa5-964d2151-27d9c03c.mp3],Sie dürfen hier nicht rauchen. [sound:googletts-75a2ef58-82ae169c-f70ca08a-4c9a5d4d-a5fe43cb.mp3],
A1-VERB-45,A1,,einkaufen [sound:googletts-491cf034-be084f8b-d8b117b9-ed8879eb-38ee870a.mp3],shop,,ich kaufe ein&nbsp;<div>du kaufst ein&nbsp;</div><div>er/sie/es kauft ein&nbsp;</div><div>wir kaufen ein&nbsp;</div><div>ihr kauft ein&nbsp;</div><div>Sie kaufenein</div>,ich kaufte ein&nbsp;<div>du kauftest ein&nbsp;</div><div>er/sie/es kaufte ein ⚑</div><div>wir kauften ein&nbsp;</div><div>ihr kauftet ein&nbsp;</div><div>Sie kauften ein</div>,ich werde einkaufen&nbsp;<div>du wirst einkaufen&nbsp;</div><div>er/sie/es wird einkaufen&nbsp;</div><div>wir werden einkaufen&nbsp;</div><div>ihr werdet einkaufen&nbsp;</div><div>Sie werden einkaufen</div>,ich habe eingekauft ⚑<div>du hast eingekauft&nbsp;</div><div>er/sie/es hat eingekauft&nbsp;</div><div>wir haben eingekauft&nbsp;</div><div>ihr habt eingekauft&nbsp;</div><div>Sie haben eingekauft</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to shop [sound:googletts-b2d6f5d7-5f570b3c-e2373251-21aec9db-d4b58bdc.mp3],I have to shop more for tomorrow. [sound:googletts-4e38ba75-54d3c033-3f60ddab-1c6c732a-027c0135.mp3],Ich muss noch für morgen einkaufen. [sound:googletts-67015af6-e0fdeb55-f8e96c59-87b522c7-d7e1bb61.mp3],
A1-VERB-46,A1,⚑,einladen [sound:googletts-530e5e5e-7ce9a297-64a2757e-f8484ac6-ffda8b3b.mp3],invite,a-u-a,ich lade ein&nbsp;<div>du lädst ein ⚑</div><div>er/sie/es lädt ein ⚑</div><div>wir laden ein&nbsp;</div><div>ihr ladet ein&nbsp;</div><div>Sie laden ein</div>,ich lud ein&nbsp;<div>du ludst ein&nbsp;</div><div>er/sie/es lud ein ⚑</div><div>wir luden ein&nbsp;</div><div>ihr ludet ein&nbsp;</div><div>Sie luden ein</div>,ich werde einladen&nbsp;<div>du wirst einladen&nbsp;</div><div>er/sie/es wird einladen&nbsp;</div><div>wir werden einladen&nbsp;</div><div>ihr werdet einladen&nbsp;</div><div>Sie werden einladen</div>,ich habe eingeladen&nbsp;<div>du hast eingeladen&nbsp;</div><div>er/sie/es hat eingeladen&nbsp;</div><div>wir haben eingeladen&nbsp;</div><div>ihr habt eingeladen&nbsp;</div><div>Sie haben eingeladen</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to invite [sound:googletts-028c24a0-01411889-9e1b46bc-e1c13455-487af6fe.mp3],May I invite you for a coffee? [sound:googletts-df76c997-952d97e8-a5b714ac-fa68329b-cab7f08f.mp3],Darf ich Sie zu einem Kaffee einladen? [sound:googletts-a007f210-fc2666c3-bdbd71e4-8187f73e-f86054d6.mp3],
A1-VERB-47,A1,⚑,einsteigen [sound:googletts-b9ccd85d-82233229-d4aefbda-324bd715-f5c6904e.mp3],board,ei-ie-ie,ich steige ein&nbsp;<div>du steigst ein&nbsp;</div><div>er/sie/es steigt ein&nbsp;</div><div>wir steigen ein&nbsp;</div><div>ihr steigt ein&nbsp;</div><div>Sie steigen ein</div>,ich stieg ein ⚑<div>du stiegst ein&nbsp;</div><div>er/sie/es stieg ein ⚑</div><div>wir stiegen ein&nbsp;</div><div>ihr stiegt ein&nbsp;</div><div>Sie stiegen ein</div>,ich werde einsteigen&nbsp;<div>du wirst einsteigen&nbsp;</div><div>er/sie/es wird einsteigen&nbsp;</div><div>wir werden einsteigen&nbsp;</div><div>ihr werdet einsteigen&nbsp;</div><div>Sie werden einsteigen</div>,ich bin eingestiegen ⚑<div>du bist eingestiegen&nbsp;</div><div>er/sie/es ist eingestiegen&nbsp;</div><div>wir sind eingestiegen&nbsp;</div><div>ihr seid eingestiegen&nbsp;</div><div>Sie sind eingestiegen</div>,sein [sound:googletts-1e0bb217-bfaa5681-6faf3aef-7d74ead6-bf046ba2.mp3],to board [sound:googletts-7ea653b6-b7394f53-f418cc9d-b927a6d6-c5955417.mp3],"Quick, get in, the train is leaving.&nbsp;[sound:googletts-481832b4-82ebc861-460dd152-5117bb10-555b2042.mp3]","Schnell, steig ein, der Zug fährt gleich. [sound:googletts-fa45c42f-9a7f3d87-25fb719b-67b86ce5-fe920fb1.mp3]",
A1-VERB-48,A1,⚑,empfehlen [sound:googletts-bac3b4b9-8588c4ed-08f2e201-63a0d911-6c68d008.mp3],recommend,e-a-o,ich empfehle&nbsp;<div>du empfiehlst&nbsp;</div><div>er/sie/es empfiehlt&nbsp;</div><div>wir empfehlen&nbsp;</div><div>ihr empfehlt&nbsp;</div><div>Sie empfehlen</div>,ich empfahl ⚑<div>du empfahlst&nbsp;</div><div>er/sie/es empfahl&nbsp;</div><div>wir empfahlen&nbsp;</div><div>ihr empfahlt&nbsp;</div><div>Sie empfahlen</div>,ich werde empfehlen&nbsp;<div>du wirst empfehlen&nbsp;</div><div>er/sie/es wird empfehlen&nbsp;</div><div>wir werden empfehlen&nbsp;</div><div>ihr werdet empfehlen&nbsp;</div><div>Sie werden empfehlen</div>,ich habe empfohlen ⚑<div>du hast empfohlen&nbsp;</div><div>er/sie/es hat empfohlen&nbsp;</div><div>wir haben empfohlen&nbsp;</div><div>ihr habt empfohlen&nbsp;</div><div>Sie haben empfohlen</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to recommend [sound:googletts-458cf8be-8fbef253-d4fb790d-a7ea76de-0c63a2d8.mp3],Which wine can you recommend to me? [sound:googletts-bf9e814d-97758446-905a4399-0a027230-91953b35.mp3],Welchen Wein können Sie mir empfehlen? [sound:googletts-c5900aea-290f994d-0366c3af-8494ae16-1b0180df.mp3],
A1-VERB-49,A1,,entschuldigen [sound:googletts-59e0f5d7-11479bbc-905c2e80-45f473c1-b6a355a7.mp3],excuse,,ich entschuldige&nbsp;<div>du entschuldigst&nbsp;</div><div>er/sie/es entschuldigt&nbsp;</div><div>wir entschuldigen&nbsp;</div><div>ihr entschuldigt&nbsp;</div><div>Sie entschuldigen</div>,ich entschuldigte&nbsp;<div>du entschuldigtest&nbsp;</div><div>er/sie/es entschuldigte&nbsp;</div><div>wir entschuldigten&nbsp;</div><div>ihr entschuldigtet&nbsp;</div><div>Sie entschuldigten</div>,ich werde entschuldigen&nbsp;<div>du wirst entschuldigen&nbsp;</div><div>er/sie/es wird entschuldigen&nbsp;</div><div>wir werden entschuldigen&nbsp;</div><div>ihr werdet entschuldigen&nbsp;</div><div>Sie werden entschuldigen</div>,ich habe entschuldigt&nbsp;<div>du hast entschuldigt&nbsp;</div><div>er/sie/es hat entschuldigt&nbsp;</div><div>wir haben entschuldigt&nbsp;</div><div>ihr habt entschuldigt&nbsp;</div><div>Sie haben entschuldigt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to excuse [sound:googletts-5c649d90-2d62b47c-a2a216ad-14c882a7-7828c23a.mp3],Excuse me please! [sound:googletts-b78550fb-0c06239e-0135cc47-96aec2f5-b6280efd.mp3],Entschuldigen Sie bitte! [sound:googletts-523a96a6-2637832d-aa937f28-53fc49d6-806f5878.mp3],
A1-VERB-50,A1,,erklären [sound:googletts-8aa23c32-72fbfa25-23f65021-7c01c4e9-76fcc01d.mp3],explain,,ich erkläre&nbsp;<div>du erklärst&nbsp;</div><div>er/sie/es erklärt&nbsp;</div><div>wir erklären&nbsp;</div><div>ihr erklärt&nbsp;</div><div>Sie erklären</div>,ich erklärte&nbsp;<div>du erklärtest&nbsp;</div><div>er/sie/es erklärte ⚑</div><div>wir erklärten&nbsp;</div><div>ihr erklärtet&nbsp;</div><div>Sie erklärten</div>,ich werde erklären&nbsp;<div>du wirst erklären&nbsp;</div><div>er/sie/es wird erklären&nbsp;</div><div>wir werden erklären&nbsp;</div><div>ihr werdet erklären&nbsp;</div><div>Sie werden erklären</div>,ich habe erklärt&nbsp;<div>du hast erklärt&nbsp;</div><div>er/sie/es hat erklärt&nbsp;</div><div>wir haben erklärt&nbsp;</div><div>ihr habt erklärt&nbsp;</div><div>Sie haben erklärt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to explain [sound:googletts-dd727267-46c5afa4-2397aae1-e6307e4f-7d3bd0b4.mp3],Can you explain that to me? [sound:googletts-9b2eb36e-d3679d54-af38d1a8-eb487c77-40c85da5.mp3],Kannst du mir das erklären? [sound:googletts-97920b78-27392794-19692093-9a6e26f1-13dfdf74.mp3],
A1-VERB-51,A1,,erlauben [sound:googletts-7c5f58af-4bf23a7c-9e189d7c-ffa544b4-4b6e1464.mp3],allow,,ich erlaube&nbsp;<div>du erlaubst&nbsp;</div><div>er/sie/es erlaubt&nbsp;</div><div>wir erlauben&nbsp;</div><div>ihr erlaubt&nbsp;</div><div>Sie erlauben</div>,ich erlaubte&nbsp;<div>du erlaubtest&nbsp;</div><div>er/sie/es erlaubte ⚑</div><div>wir erlaubten&nbsp;</div><div>ihr erlaubtet&nbsp;</div><div>Sie erlaubten</div>,ich werde erlauben&nbsp;<div>du wirst erlauben&nbsp;</div><div>er/sie/es wird erlauben&nbsp;</div><div>wir werden erlauben&nbsp;</div><div>ihr werdet erlauben&nbsp;</div><div>Sie werden erlauben</div>,ich habe erlaubt&nbsp;<div>du hast erlaubt&nbsp;</div><div>er/sie/es hat erlaubt&nbsp;</div><div>wir haben erlaubt&nbsp;</div><div>ihr habt erlaubt&nbsp;</div><div>Sie haben erlaubt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to allow [sound:googletts-2f3f8084-43856223-809fb73e-7d986822-50cae1e4.mp3],Smoking is not allowed here. [sound:googletts-db02b038-bf21185b-9633e1dc-e3570a58-0c944edd.mp3],Rauchen ist hier nicht erlaubt. [sound:googletts-1d2a830d-35ff2455-57e6652d-1d77216e-1e13d4b0.mp3],
A1-VERB-52,A1,,erzählen [sound:googletts-589acc1b-c0581d7e-0491bc15-2ab17eff-46d915c4.mp3],tell,,ich erzähle&nbsp;<div>du erzählst&nbsp;</div><div>er/sie/es erzählt&nbsp;</div><div>wir erzählen&nbsp;</div><div>ihr erzählt&nbsp;</div><div>Sie erzählen</div>,ich erzählte&nbsp;<div>du erzähltest&nbsp;</div><div>er/sie/es erzählte ⚑</div><div>wir erzählten&nbsp;</div><div>ihr erzähltet&nbsp;</div><div>Sie erzählten</div>,ich werde erzählen&nbsp;<div>du wirst erzählen&nbsp;</div><div>er/sie/es wird erzählen&nbsp;</div><div>wir werden erzählen&nbsp;</div><div>ihr werdet erzählen&nbsp;</div><div>Sie werden erzählen</div>,ich habe erzählt&nbsp;<div>du hast erzählt&nbsp;</div><div>er/sie/es hat erzählt&nbsp;</div><div>wir haben erzählt&nbsp;</div><div>ihr habt erzählt&nbsp;</div><div>Sie haben erzählt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to tell [sound:googletts-d66682e1-ebf08480-06840b2d-641f0429-5542fafb.mp3],We must tell you something! [sound:googletts-077a9bae-225c8fba-83c5df2f-baa33c86-8908028e.mp3],Wir müssen euch etwas erzählen! [sound:googletts-14f2ee46-3e165cde-5de034ef-5a05e61f-79be63ae.mp3],
A1-VERB-53,A1,⚑,essen [sound:googletts-ee8a2e5b-756d20f7-54c8b985-778c2f16-29e4f39b.mp3],eat,,ich esse&nbsp;<div>du isst ⚑</div><div>er/sie/es isst ⚑</div><div>wir essen&nbsp;</div><div>ihr esst&nbsp;</div><div>Sie essen</div>,ich aß ⚑<div>du aßest&nbsp;</div><div>er/sie/es aß ⚑</div><div>wir aßen&nbsp;</div><div>ihr aßt&nbsp;</div><div>Sie aßen</div>,ich werde essen&nbsp;<div>du wirst essen&nbsp;</div><div>er/sie/es wird essen&nbsp;</div><div>wir werden essen&nbsp;</div><div>ihr werdet essen&nbsp;</div><div>Sie werden essen</div>,ich habe gegessen ⚑<div>du hast gegessen&nbsp;</div><div>er/sie/es hat gegessen&nbsp;</div><div>wir haben gegessen&nbsp;</div><div>ihr habt gegessen&nbsp;</div><div>Sie haben gegessen</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to eat [sound:googletts-c332237e-1fdc9e93-a3ddd299-e2d0536c-def531b7.mp3],Whats there to eat? [sound:googletts-93f58633-42ad6c55-1c28f32a-bc0da1ac-309e8148.mp3],Was gibt es zu essen? [sound:googletts-9fb0069c-c960df2e-6e3362b4-db31ed36-1b30ac4e.mp3],
A1-VERB-54,A1,,fahren [sound:googletts-c42ccbca-c99653ff-2c34c5d0-4c2665c7-5f92c38d.mp3],drive,,ich fahre&nbsp;<div>du fährst&nbsp;</div><div>er/sie/es fährt&nbsp;</div><div>wir fahren&nbsp;</div><div>ihr fahrt&nbsp;</div><div>Sie fahren</div>,ich fuhr&nbsp;<div>du fuhrst&nbsp;</div><div>er/sie/es fuhr&nbsp;</div><div>wir fuhren&nbsp;</div><div>ihr fuhrt&nbsp;</div><div>Sie fuhren</div>,ich werde fahren&nbsp;<div>du wirst fahren&nbsp;</div><div>er/sie/es wird fahren&nbsp;</div><div>wir werden fahren&nbsp;</div><div>ihr werdet fahren&nbsp;</div><div>Sie werden fahren</div>,ich bin gefahren&nbsp;<div>du bist gefahren&nbsp;</div><div>er/sie/es ist gefahren&nbsp;</div><div>wir sind gefahren&nbsp;</div><div>ihr seid gefahren&nbsp;</div><div>Sie sindgefahren</div>,sein [sound:googletts-1e0bb217-bfaa5681-6faf3aef-7d74ead6-bf046ba2.mp3],to drive [sound:googletts-c2889401-4a7234c0-bca9c265-236ed038-2ba17bd1.mp3],I drive the car to work. [sound:googletts-b557289c-d4c68192-97b360a1-8d5b5ef7-1e765a4b.mp3],Ich fahre mit dem Auto zur Arbeit. [sound:googletts-b2f64a74-1a57b955-88f8bc5c-db94f1db-6a343e83.mp3],
A1-VERB-55,A1,,feiern [sound:googletts-f68df0c6-9b0ed341-e2faf299-698ba6a5-2d00c8d7.mp3],celebrate,,ich feiere&nbsp;<div>du feierst&nbsp;</div><div>er/sie/es feiert&nbsp;</div><div>wir feiern&nbsp;</div><div>ihr feiert&nbsp;</div><div>Sie feiern</div>,ich feierte&nbsp;<div>du feiertest&nbsp;</div><div>er/sie/es feierte&nbsp;</div><div>wir feierten&nbsp;</div><div>ihr feiertet&nbsp;</div><div>Sie feierten</div>,ich werde&nbsp;<div>feiern du wirst feiern&nbsp;</div><div>er/sie/es wird feiern&nbsp;</div><div>wir werden feiern&nbsp;</div><div>ihr werdet feiern&nbsp;</div><div>Sie werden feiern</div>,ich habe gefeiert&nbsp;<div>du hast gefeiert&nbsp;</div><div>er/sie/es hat gefeiert&nbsp;</div><div>wir haben gefeiert&nbsp;</div><div>ihr habt gefeiert&nbsp;</div><div>Sie haben gefeiert</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to celebrate [sound:googletts-70a650f1-e5160e53-03b1884d-34282403-98fb0699.mp3],Today we celebrate my birthday. [sound:googletts-41303e3e-39ef8274-6c1d609d-ee34665a-464ac32e.mp3],Wir feiern heute meinen Geburtstag. [sound:googletts-5512c5fa-9dac51c0-f089e5d2-7eb5487d-1bf62343.mp3],
A1-VERB-56,A1,,finden [sound:googletts-aff11b3e-5f31afe7-1e2c51b3-4d956b25-b26d948a.mp3],find,,ich finde&nbsp;<div>du findest&nbsp;</div><div>er/sie/es findet&nbsp;</div><div>wir finden&nbsp;</div><div>ihr findet&nbsp;</div><div>Sie finden</div>,ich fand&nbsp;<div>du fandst&nbsp;</div><div>er/sie/es fand&nbsp;</div><div>wir fanden&nbsp;</div><div>ihr fandet&nbsp;</div><div>Sie fanden</div>,ich werde finden&nbsp;<div>du wirst finden&nbsp;</div><div>er/sie/es wird finden&nbsp;</div><div>wir werden finden&nbsp;</div><div>ihr werdet finden&nbsp;</div><div>Sie werden finden</div>,ich habe gefunden&nbsp;<div>du hast gefunden&nbsp;</div><div>er/sie/es hat gefunden&nbsp;</div><div>wir haben gefunden&nbsp;</div><div>ihr habt gefunden&nbsp;</div><div>Sie haben gefunden</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to find [sound:googletts-740036a7-92e9dd05-be603892-3e142f04-6ea65c86.mp3],We need to find the key. [sound:googletts-2f20b5b3-d47ee385-1d9514ee-f971c152-88f2be0d.mp3],Wir müssen den Schlüssel finden. [sound:googletts-f8521d07-b4bfb35c-dc04bb20-4d2510c8-725a9d10.mp3],
A1-VERB-57,A1,,fliegen [sound:googletts-09418f94-84b644a5-d2fa20cd-9f5259fe-1e0a8f80.mp3],fly,,ich fliege&nbsp;<div>du fliegst&nbsp;</div><div>er/sie/es fliegt&nbsp;</div><div>wir fliegen&nbsp;</div><div>ihr fliegt&nbsp;</div><div>Sie fliegen</div>,ich flog&nbsp;<div>du flogst&nbsp;</div><div>er/sie/es flog&nbsp;</div><div>wir flogen&nbsp;</div><div>ihr flogt&nbsp;</div><div>Sie flogen</div>,ich werde fliegen&nbsp;<div>du wirst fliegen&nbsp;</div><div>er/sie/es wird fliegen&nbsp;</div><div>wir werden fliegen&nbsp;</div><div>ihr werdet fliegen&nbsp;</div><div>Sie werden fliegen</div>,ich bingeflogen&nbsp;<div>du bist geflogen&nbsp;</div><div>er/sie/es ist geflogen&nbsp;</div><div>wir sindgeflogen&nbsp;</div><div>ihr seidgeflogen&nbsp;</div><div>Sie sindgeflogen</div>,sein [sound:googletts-1e0bb217-bfaa5681-6faf3aef-7d74ead6-bf046ba2.mp3],to fly [sound:googletts-14b2f4ad-5e615521-6605ea88-4f557788-48263e14.mp3],"I do not like to fly. Therefore, I take the train. [sound:googletts-5c0accdc-7cddfb20-282a8ae5-5633a766-dc931b19.mp3]",Ich fliege nicht gern. Deshalb fahre ich mit dem Zug. [sound:googletts-d2d9d255-99e0a6ef-34aec9ad-f898c818-b808c62e.mp3],
A1-VERB-58,A1,,fragen [sound:googletts-893fac8e-69fbf4df-28e1c145-e8d2a0a6-4ac62ed8.mp3],ask,,ich frage&nbsp;<div>du fragst&nbsp;</div><div>er/sie/es fragt&nbsp;</div><div>wir fragen&nbsp;</div><div>ihr fragt&nbsp;</div><div>Sie fragen</div>,ich fragte&nbsp;<div>du fragtest&nbsp;</div><div>er/sie/es fragte&nbsp;</div><div>wir fragten&nbsp;</div><div>ihr fragtet&nbsp;</div><div>Sie fragten</div>,ich werde fragen&nbsp;<div>du wirst fragen&nbsp;</div><div>er/sie/es wird fragen&nbsp;</div><div>wir werden fragen&nbsp;</div><div>ihr werdet fragen&nbsp;</div><div>Sie werden fragen</div>,ich habe gefragt&nbsp;<div>du hast gefragt&nbsp;</div><div>er/sie/es hat gefragt&nbsp;</div><div>wir haben gefragt&nbsp;</div><div>ihr habt gefragt&nbsp;</div><div>Sie haben gefragt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to ask [sound:googletts-c97037bb-5d04f176-69717e69-5e6480bd-5b1ab648.mp3],He wants to ask you something. When will you come? [sound:googletts-efe474f5-66f624d0-e5f4037f-8b9f0a6a-41d7b887.mp3],Er möchte Sie etwas fragen. Wann kommen Sie? [sound:googletts-04512ac7-c67979cf-77ab4420-a3f156a9-520963d1.mp3],
A1-VERB-59,A1,,freuen (sich)&nbsp;[sound:googletts-896874a3-0197b554-d7bfaca8-b13731f9-6d483fc2.mp3],look forward,,ich freue mich&nbsp;<div>du freust dich&nbsp;</div><div>er/sie/es freut sich&nbsp;</div><div>wir freuen uns&nbsp;</div><div>ihr freut euch&nbsp;</div><div>Sie freuen sich</div>,ich freute mich&nbsp;<div>du freutest dich&nbsp;</div><div>er/sie/es freute sich&nbsp;</div><div>wir freuten uns&nbsp;</div><div>ihr freutet euch&nbsp;</div><div>Sie freuten sich</div>,ich habe mich gefreut&nbsp;<div>du hast dich gefreut&nbsp;</div><div>er/sie/es hat sich gefreut&nbsp;</div><div>wir haben uns gefreut</div><div>ihr habt euch gefreut&nbsp;</div><div>Sie haben sich gefreut</div>,ich hatte mich gefreut&nbsp;<div>du hattest dich gefreut&nbsp;</div><div>er/sie/es hatte sich gefreut&nbsp;</div><div>wir hatten uns gefreut&nbsp;</div><div>ihr hattet euch gefreut&nbsp;</div><div>Sie hatten sich gefreut</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to look forward [sound:googletts-21cf4f54-d148cf34-4a664f1d-3b2e5356-2b11bfbb.mp3],I am looking forward to the holidays. [sound:googletts-b588c529-beafa0db-f81c45ec-ba6a7fc8-28e2a25e.mp3],Ich freue mich auf den Urlaub. [sound:googletts-c0e37c46-84dc8e9f-3ae743ba-9d227460-0e2bd255.mp3],
A1-VERB-60,A1,,frühstücken [sound:googletts-7411a6be-3ac7f3df-d945648b-442ab38d-3c087c9b.mp3],have breakfast,,ich frühstücke&nbsp;<div>du frühstückst&nbsp;</div><div>er/sie/es frühstückt&nbsp;</div><div>wir frühstücken&nbsp;</div><div>ihr frühstückt&nbsp;</div><div>Sie frühstücken</div>,ich frühstückte&nbsp;<div>du frühstücktest&nbsp;</div><div>er/sie/es frühstückte&nbsp;</div><div>wir frühstückten&nbsp;</div><div>ihr frühstücktet&nbsp;</div><div>Sie frühstückten</div>,ich werde frühstücken&nbsp;<div>du wirst frühstücken&nbsp;</div><div>er/sie/es wird frühstücken&nbsp;</div><div>wir werden frühstücken&nbsp;</div><div>ihr werdet frühstücken&nbsp;</div><div>Sie werden frühstücken</div>,ich habe gefrühstückt&nbsp;<div>du hast gefrühstückt&nbsp;</div><div>er/sie/es hat gefrühstückt&nbsp;</div><div>wir haben gefrühstückt&nbsp;</div><div>ihr habt gefrühstückt&nbsp;</div><div>Sie haben gefrühstückt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to have breakfast [sound:googletts-ea0437d9-14dfc845-56b2a6e2-4690b8d4-3fae8295.mp3],On Sunday I like to have breakfast in bed. [sound:googletts-f12b16d3-0733e1c5-233d52a9-f91b7794-0cf7933a.mp3],Am Sonntag frühstücke ich gern im Bett. [sound:googletts-61ec73b1-06f3c590-ae2f36a9-2461a0b5-5a85abe5.mp3],
A1-VERB-61,A1,,geben [sound:googletts-dc64eb2e-eea8cc81-79934968-df14bc01-87654516.mp3],there is,,ich gebe&nbsp;<div>du gibst&nbsp;</div><div>er/sie/es gibt&nbsp;</div><div>wir geben&nbsp;</div><div>ihr gebt&nbsp;</div><div>Sie geben</div>,ich gab&nbsp;<div>du gabst&nbsp;</div><div>er/sie/es gab&nbsp;</div><div>wir gaben&nbsp;</div><div>ihr gabt&nbsp;</div><div>Sie gaben</div>,ich werde geben&nbsp;<div>du wirst geben&nbsp;</div><div>er/sie/es wird geben&nbsp;</div><div>wir werden geben&nbsp;</div><div>ihr werdet geben&nbsp;</div><div>Sie werden geben</div>,ich habe gegeben&nbsp;<div>du hast gegeben&nbsp;</div><div>er/sie/es hat gegeben&nbsp;</div><div>wir haben gegeben&nbsp;</div><div>ihr habt gegeben&nbsp;</div><div>Sie haben gegeben</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],there is [sound:googletts-81e14c6e-b320f69c-62e73000-069f52c1-a03bfb95.mp3],There are no more tickets. [sound:googletts-871cea1e-530a9f2a-f429ca11-09b1a356-0a3e1cfc.mp3],Es gibt keine Karten mehr. [sound:googletts-540b6bb5-8f8cb2ee-3ea174c6-d28f2f77-4ee4399e.mp3],
A1-VERB-62,A1,,geboren [sound:googletts-e391e4a3-3ece2aa1-dd23e5f2-fe13cdf0-be6877a2.mp3],be born,,ich gebäre&nbsp;<div>du gebärst&nbsp;</div><div>er/sie/es gebärt&nbsp;</div><div>wir gebären&nbsp;</div><div>ihr gebärt&nbsp;</div><div>Sie gebären</div>,ich gebar&nbsp;<div>du gebarst&nbsp;</div><div>er/sie/es gebar&nbsp;</div><div>wir gebaren&nbsp;</div><div>ihr gebart&nbsp;</div><div>Sie gebaren</div>,ich werde gebären&nbsp;<div>du wirst gebären&nbsp;</div><div>er/sie/es wird gebären&nbsp;</div><div>wir werden gebären&nbsp;</div><div>ihr werdet gebären&nbsp;</div><div>Sie werden gebären</div>,ich habe geboren&nbsp;<div>du hast geboren&nbsp;</div><div>er/sie/es hat geboren&nbsp;</div><div>wir haben geboren&nbsp;</div><div>ihr habt geboren&nbsp;</div><div>Sie haben geboren</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to be born [sound:googletts-b9054fe2-104f6da5-9e20a366-f45f3440-e76d0881.mp3],I was born in Zagreb. [sound:googletts-41dcaadf-27997217-dca60278-f1e2b459-2fa8da06.mp3],Ich bin in Zagreb geboren. [sound:googletts-81b1dca4-6449d20a-6aa88cf3-6ed3dd4f-6ee539e0.mp3],
